ack__count,ap_deauth__count,beacon__count,class_3_frames__count,client_deauth__count,failure_assoc__count,frame__frequency,frame__loss_rate,max_consecutive_beacons__count,null_dataframe__count,rssi__mean,rssi__sd,success_assoc__count,associated_client,end__time_epoch,episode_duration,start__time_epoch
18,0,995,32,0,0,0.3205763734248324,0.0,0,2,-53.80952380952381,1.470341716032284,0,ac:b5:7d:6e:f0:17,1431523160.868614,65.50701093673706,1431523095.361603
109,0,1730,235,0,0,1.033515731696088,0.04032258064516129,0,10,-53.95967741935484,1.9313384446488533,0,ac:b5:7d:6e:f0:17,1431523280.868366,119.97882199287415,1431523160.889544
3032,0,1425,7563,0,0,44.46156484143566,0.2035166479610924,0,10,-52.74915824915825,1.560181636071381,0,ac:b5:7d:6e:f0:17,1431523401.110158,120.23868298530579,1431523280.871475
8,0,907,11,0,0,0.16750216460089712,0.1,0,1,-61.0,4.69041575982343,0,bc:85:56:c4:ac:6b,1431523155.062324,59.70072102546692,1431523095.361603
98,0,1737,193,0,0,0.8330313168195276,0.05,0,9,-58.96,4.218573649512788,0,bc:85:56:c4:ac:6b,1431523275.108663,120.0435061454773,1431523155.065157
2843,0,1449,6366,0,0,34.63449375403813,0.19601249099207302,0,11,-60.191208263271676,1.6069734972500156,0,bc:85:56:c4:ac:6b,1431523395.313013,120.19809007644653,1431523275.114923
6,0,1155,34,0,0,0.3096504179397814,0.0,0,1,-52.416666666666664,4.179834266182527,0,c0:cb:38:9d:0b:bf,1431523172.868361,77.50675797462463,1431523095.361603
36,0,1721,613,0,0,3.9586454135007902,0.002105263157894737,0,18,-53.008421052631576,3.065379814776393,0,c0:cb:38:9d:0b:bf,1431523292.862362,119.99053978919983,1431523172.871822
42,0,1399,5419,0,0,34.32714454132182,0.0002409058058299205,0,21,-53.306913996627316,3.065745121334646,0,c0:cb:38:9d:0b:bf,1431523413.793058,120.9247100353241,1431523292.868348
0,0,1475,0,0,0,0.18835941009889268,0.0,0,0,-87.63157894736842,1.6059101370939326,0,cc:c3:ea:7a:69:18,1431523196.232592,100.87098908424377,1431523095.361603
0,0,337,0,0,0,0.8107784838726954,0.0,0,0,-87.6875,0.873212459828649,0,cc:c3:ea:7a:69:18,1431523216.030951,19.73412013053894,1431523196.296831
0,0,307,0,0,0,0.10029339430430045,0.0,0,0,-92.0,0.0,0,cc:c3:ea:7a:69:18,1431523236.001412,19.941492795944214,1431523216.059919
0,0,270,0,0,0,0.10047247144820762,0.0,0,0,-92.0,1.4142135623730951,0,cc:c3:ea:7a:69:18,1431523255.928195,19.90595006942749,1431523236.022245
